"Código Institución";"Nombre Institución";"Estado Institución";"Carácter Académico";"Sector";"¿Puede Recibir Estudiantes Nuevos?";"Estado Programa";"Descripción Estado Programa";"Fecha de la Resolución";"Número de la Resolución";"Justificación";"Reconocimiento del Ministerio";"Resolución de Aprobación No.";"Fecha de Resolución";"Vigencia (Años)";"Fecha de Registro en SNIES";"Código SNIES del Programa";"Código Anterior (ICFES)";"Área de Conocimiento";"Núcleo Básico del Conocimiento - NBC";"Nombre del Programa";"Nivel Académico";"Nivel de Formación";"Metodología";"Número Créditos";"Número Periodos de Duración";"Periodos de Duración";"Titulo Otorgado";"Departamento Oferta del Programa";"Municipio Oferta del Programa";"Costo Matrícula para Estudiantes Nuevos";"¿Se ofrece por ciclos propedéuticos?";"¿Cada cuánto se hacen admisiones de estudiantes nuevos?"
"1105";"UNIVERSIDAD PEDAGOGICA NACIONAL";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"26331";"24/11/2017";"10";"18/01/2006";"51867";"110573700001100111500";"CIENCIAS DE LA EDUCACION";"EDUCACION";"DOCTORADO INTERINSTITUCIONAL EN EDUCACION";"POSGRADO";"Doctorado";"Presencial";"81";"4";"ANUAL";"DOCTOR EN EDUCACION";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"ANUAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"903";"130126583621100112300";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA AMBIENTAL, SANITARIA Y AFINES";"TECNOLOGIA EN GESTION DE SERVICIOS PUBLICOS SANITARIOS";"PREGRADO";"Tecnológica";"A distancia";"";"6";"SEMESTRAL";"TECNOLOGO EN GESTION DE SERVICIOS PUBLICOS SANITARIOS";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"3075";"26/04/2010";"6";"21/03/1998";"904";"130129100021100111100";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA CIVIL Y AFINES";"TECNOLOGIA EN TOPOGRAFIA";"PREGRADO";"Tecnológica";"Presencial";"104";"6";"SEMESTRAL";"TECNOLOGO EN TOPOGRAFIA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"905";"130123330721100112300";"INGENIERIA, ARQUITECTURA, URBANISMO Y AFINES";"INGENIERIA AMBIENTAL, SANITARIA Y AFINES";"TECNOLOGIA EN SANEAMIENTO AMBIENTAL";"PREGRADO";"Tecnológica";"A distancia";"";"6";"SEMESTRAL";"TECNOLOGO EN SANEAMIENTO AMBIENTAL";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"14960";"19/11/2012";"6";"21/03/1998";"906";"130147300001100111100";"BELLAS ARTES";"ATES PLASTICAS, VISUALES Y AFINES";"ARTES PLASTICAS Y VISUALES";"PREGRADO";"Universitaria";"Presencial";"160";"10";"SEMESTRAL";"MAESTRO EN ARTES PLASTICAS Y VISUALES";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"17147";"17/10/2014";"4";"21/03/1998";"907";"130147920001100111100";"BELLAS ARTES";"ARTES REPRESENTATIVAS";"ARTES ESCENICAS";"PREGRADO";"Universitaria";"Presencial";"163";"10";"SEMESTRAL";"MAESTRO EN ARTES ESCENICAS";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"SI";"ACTIVO";"ACTIVO";"";"";"";"";"8153";"30/05/2014";"6";"21/03/1998";"908";"130147800001100111100";"BELLAS ARTES";"MUSICA";"ARTES MUSICALES";"PREGRADO";"Universitaria";"Presencial";"166";"10";"SEMESTRAL";"MAESTRO EN ARTES MUSICALES";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"909";"130143720001100111100";"CIENCIAS DE LA EDUCACION";"EDUCACION";"LICENCIATURA EN EDUCACION PRIMARIA";"PREGRADO";"Universitaria";"Presencial";"";"8";"SEMESTRAL";"LICENCIADO EN EDUCACION PRIMARIA";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"3110";"27/04/2010";"7";"21/03/1998";"910";"130143703001100111600";"CIENCIAS DE LA EDUCACION";"EDUCACION";"LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES";"PREGRADO";"Universitaria";"Presencial";"160";"10";"SEMESTRAL";"LICENCIADO(A) EN EDUCACION BASICA CON ENFASIS EN CIENCIAS SOCIALES";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
"1301";"UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS";"ACTIVA";"UNIVERSIDAD";"OFICIAL";"NO";"INACTIVO";"INACTIVO";"";"";"";"";"";"";"";"21/03/1998";"911";"130144103701100111100";"CIENCIAS DE LA EDUCACION";"EDUCACION";"LICENCIATURA EN LENGUAS MODERNAS ESPAÑOL E INGLES";"PREGRADO";"Universitaria";"Presencial";"";"8";"SEMESTRAL";"LICENCIADO EN LENGUAS MODERNAS- ESPAÑOL E INGLES";"BOGOTA D.C";"BOGOTA D.C.";"";"NO";"SEMESTRAL"
